full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,144015,144015,22049,287,287,71,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,49451,49451,8006,63,63,13,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8568,8568,14246,8,8,20,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,37120,37120,2956,36,36,0,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,1088,1088,2029,7,7,2,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31691,31691,2507,7,7,-1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24263,24263,2386,7,7,0,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32657,32657,3001,52,52,10,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,674,674,1005,2,2,5,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2831,2831,3622,7,7,2,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2072,2072,3398,4,4,8,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16562,16562,1874,18,18,2,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6930,6930,1677,3,3,3,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8397,8397,1557,9,9,2,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,8313,8313,1263,4,4,2,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9424,9424,1203,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8521,8521,631,5,5,1,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,742,742,1708,3,3,1,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7208,7208,508,7,7,0,https://github.com/ykdojo/claude-code-tips
