full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,144333,144333,22124,318,318,75,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,49545,49545,8025,94,94,19,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8581,8581,14259,13,13,13,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,37159,37159,2963,39,39,7,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,1089,1089,2031,1,1,2,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31706,31706,2509,15,15,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24269,24269,2386,6,6,0,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32721,32721,3010,64,64,9,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,678,678,1007,4,4,2,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2834,2834,3628,3,3,6,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2073,2073,3402,1,1,4,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,6933,6933,1679,3,3,2,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,16574,16574,1879,12,12,5,https://github.com/VoltAgent/awesome-claude-code-subagents
Piebald-AI/claude-code-system-prompts,8408,8408,1559,11,11,2,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,8325,8325,1265,12,12,2,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9425,9425,1203,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8526,8526,631,5,5,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,742,742,1710,0,0,2,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7212,7212,508,4,4,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,1784,1784,1957,19,19,11,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,854,854,1704,0,0,4,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5728,5728,516,0,0,3,https://github.com/ChrisWiles/claude-code-showcase
liuup/claude-code-analysis,1096,1096,1029,12,12,7,https://github.com/liuup/claude-code-analysis
OneRedOak/claude-code-workflows,3774,3774,554,1,1,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,529,529,1255,1,1,0,https://github.com/huangserva/claude-code-cli
lintsinghua/claude-code-book,2326,2326,569,26,26,5,https://github.com/lintsinghua/claude-code-book
qwibitai/nanoclaw,26781,26781,11072,19,19,33,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3387,3387,448,3,3,0,https://github.com/1rgs/claude-code-proxy
777genius/claude-code-source-code,889,889,1126,2,2,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3486,3486,594,1,1,0,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,112192,112192,12720,118,118,12,https://github.com/anthropics/skills
zebbern/claude-code-guide,3869,3869,367,2,2,1,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7396,7396,367,4,4,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
sickn33/antigravity-awesome-skills,31281,31281,5211,37,37,2,https://github.com/sickn33/antigravity-awesome-skills
kodu-ai/claude-coder,5281,5281,199,0,0,1,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2338,2338,403,0,0,1,https://github.com/Yuyz0112/claude-code-reverse
zstmfhy/Claude-code,188,188,283,0,0,0,https://github.com/zstmfhy/Claude-code
lorryjovens-hub/claude-code-rust,1192,1192,495,4,4,5,https://github.com/lorryjovens-hub/claude-code-rust
FlorianBruniaux/claude-code-ultimate-guide,3020,3020,427,4,4,2,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
fuergaosi233/claude-code-proxy,2357,2357,331,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4151,4151,364,3,3,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2373,2373,321,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
Cranot/claude-code-guide,2575,2575,285,0,0,0,https://github.com/Cranot/claude-code-guide
Windy3f3f3f3f/how-claude-code-works,1595,1595,469,6,6,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
AprilNEA/claude-code-source,364,364,612,0,0,0,https://github.com/AprilNEA/claude-code-source
Alishahryar1/free-claude-code,1741,1741,310,7,7,1,https://github.com/Alishahryar1/free-claude-code
ding113/claude-code-hub,2321,2321,261,4,4,1,https://github.com/ding113/claude-code-hub
anthropics/claude-code-base-action,785,785,598,0,0,0,https://github.com/anthropics/claude-code-base-action
fazxes/Claude-code,194,194,201,0,0,0,https://github.com/fazxes/Claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,5734,5734,509,15,15,4,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
obra/superpowers,138947,138947,11774,291,291,29,https://github.com/obra/superpowers
https-deeplearning-ai/sc-claude-code-files,479,479,652,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
eyaltoledano/claude-task-master,26429,26429,2477,0,0,0,https://github.com/eyaltoledano/claude-task-master
router-for-me/CLIProxyAPI,23804,23804,3972,43,43,12,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1387,1387,281,1,1,0,https://github.com/edmund-io/edmunds-claude-code
snarktank/ralph,14573,14573,1486,11,11,0,https://github.com/snarktank/ralph
garrytan/gstack,66249,66249,9128,190,190,37,https://github.com/garrytan/gstack
guanshan/ClaudeCode,54,54,209,0,0,0,https://github.com/guanshan/ClaudeCode
Pimzino/claude-code-spec-workflow,3634,3634,256,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
repowise-dev/claude-code-prompts,828,828,325,5,5,0,https://github.com/repowise-dev/claude-code-prompts
wshobson/agents,33122,33122,3607,10,10,1,https://github.com/wshobson/agents
luyao618/Claude-Code-Source-Study,1008,1008,429,5,5,0,https://github.com/luyao618/Claude-Code-Source-Study
Yeachan-Heo/oh-my-claudecode,25580,25580,2352,100,100,9,https://github.com/Yeachan-Heo/oh-my-claudecode
bfly123/claude_code_bridge,2117,2117,199,1,1,2,https://github.com/bfly123/claude_code_bridge
ghuntley/claude-code-source-code-deobfuscation,966,966,554,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
alirezarezvani/claude-skills,9886,9886,1216,18,18,3,https://github.com/alirezarezvani/claude-skills
Kuberwastaken/claurst,8620,8620,7659,22,22,2,https://github.com/Kuberwastaken/claurst
anthropics/claude-plugins-official,16227,16227,1829,14,14,2,https://github.com/anthropics/claude-plugins-official
andrew-kramer-inno/claude-code-source-build,554,554,495,1,1,0,https://github.com/andrew-kramer-inno/claude-code-source-build
AICoderTudou/claude-code-tudou,436,436,365,1,1,2,https://github.com/AICoderTudou/claude-code-tudou
JrCx7scC/claude-code-source,288,288,430,1,1,1,https://github.com/JrCx7scC/claude-code-source
carlvellotti/claude-code-pm-course,1768,1768,275,1,1,1,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1422,1422,212,0,0,1,https://github.com/feiskyer/claude-code-settings
Hyper66666/claude-code-sourcemap,200,200,450,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
luongnv89/claude-howto,22172,22172,2635,158,158,21,https://github.com/luongnv89/claude-howto
rohitg00/awesome-claude-code-toolkit,1130,1130,313,5,5,2,https://github.com/rohitg00/awesome-claude-code-toolkit
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3053,3053,577,6,6,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
siteboon/claudecodeui,9566,9566,1260,7,7,0,https://github.com/siteboon/claudecodeui
sugyan/claude-code-webui,1001,1001,231,0,0,0,https://github.com/sugyan/claude-code-webui
NanmiCoder/cc-haha,5398,5398,5859,21,21,19,https://github.com/NanmiCoder/cc-haha
centminmod/my-claude-code-setup,2168,2168,216,1,1,-1,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,646,646,58,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
lst97/claude-code-sub-agents,1521,1521,240,0,0,0,https://github.com/lst97/claude-code-sub-agents
